repo,doi,pmid,grant_funded,funding_sources,num_linked_grants,num_developer_grants,num_collaborator_grants,developer_project_nums,developer_core_nums,developer_orgs,developer_org_states,developer_agencies,developer_cost_by_currency,developer_cost_usd,all_org_names,all_agencies,total_cost_by_currency,total_cost_usd,earliest_project_start,latest_project_end,note
spine-tools/Spine-Toolbox,10.1016/j.softx.2021.100967,,True,Other,2,2,0,774629; Horizon 2020,,TEKNOLOGIAN TUTKIMUSKESKUS VTT OY,,Other,EUR:3580419,,TEKNOLOGIAN TUTKIMUSKESKUS VTT OY,Other,EUR:3580419,,2017-10-01 00:00:00,2021-09-30 00:00:00,OK
srivatsankrishnan/oss-arch-gym,10.1145/3579371.3589049,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
stanford-oval/genie-toolkit,10.1145/3314221.3314594,,True,NSF,1,0,1,,,,,,,,Stanford University,NSF,USD:3000000,3000000.0,2019-04-01 00:00:00,2023-03-31 00:00:00,OK
stineje/CharLib,10.1109/MWSCAS60917.2024.10658687,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
stranskyjan/dem-fem-coupling,10.1061/(ASCE)GM.1943-5622.0001388,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
sumn2u/annotate-lab,10.21105/joss.07210,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
supernnova/SuperNNova,10.1093/mnras/stz3312,,True,Other,1,1,0,CE110001020,,,,Other,,,,Other,,,,,OK
SwanHubX/SwanLab,10.1145/3759972.3759979,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
sylabs/singularity,10.1371/journal.pone.0177459,28494014,True,Other,6,4,2,Contract No. DE-AC02-05CH11231; DE-AC02; AC02-05CH11231; 05CH11231,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
SysSec-KAIST/LTESniffer,10.1145/3558482.3590196,,True,Other,1,1,0,2022-,,,,Other,,,,Other,,,,,OK
TachibanaYoshino/AnimeGAN,10.1007/978-981-15-5577-0_18,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
taco-group/OpenEMMA,10.1109/WACVW65960.2025.00113,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tamu-edu/scrollstats,10.21105/joss.09736,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tatool/tatool-web,10.3758/s13428-012-0224-y,22723043,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
TBC-TJU/MetaBCI,10.1016/j.compmed.2023.107806,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
TencentAI4S/tfold,10.1002/prot.26232,34473376,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
tensorflow/minigo,10.1038/nature24270,29052630,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
terrapower/armi,10.1016/J.ENG.2017.04.016,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
Thales1330/PSP,10.1002/2050-7038.12185,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
TheBeruriahIncident/leafbyte,10.1111/2041-210X.13340,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
TheDeanLab/navigate,10.1038/s41592-024-02413-4,39261640,True,NIH; Other,5,3,2,5RM1GM145399-05; 5R35GM133522-08; RR1900371,RM1GM145399; R35GM133522,UT SOUTHWESTERN MEDICAL CENTER,TX,NIGMS; Other,USD:1034593,1034593.0,UT SOUTHWESTERN MEDICAL CENTER,NCI; NIGMS; Other,USD:2494781,2494781.0,2019-03-01T00:00:00,2029-07-31T00:00:00,OK
thelfer/MFrontGenericInterfaceSupport,10.21105/joss.02003,,True,Other,1,0,1,,,,,,,,,Other,,,,,OK
Thinking-Machines-RL/OpenRobotGPT,10.1109/LRA.2024.3357432,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
thpar/diffany,10.1186/s12859-015-0863-y,26729218,True,Other,3,2,1,01MRB510W; BOF08/01M00408,,,,Other,,,UAntwerpen,Other,,,2012-04-01 00:00:00,2017-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
thulab/DeepHash,10.1145/3078971.3078983,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
thunlp/OpenMatch,10.1145/3404835.3462789,,True,Other,1,1,0,2020AAA0106501,,,,Other,,,,Other,,,,,OK
TILOS-AI-Institute/MacroPlacement,10.1145/3569052.3578926,,True,Other; NSF,3,3,0,HR0011-18-2-0032; NSF CCF-2112665; CCF-2112665,,,,Other; NSF,,,,Other; NSF,,,,,OK
TimingPredict/TimingPredict,10.1145/3489517.3530597,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
TIM-JYU/TIM,10.1109/FIE43999.2019.9028353,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
timvandermeij/mobile-radio-tomography,10.1007/978-3-319-67468-1_5,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tlab-wide/AutowareV2X,10.1109/VTC2023-Spring57618.2023.10199425,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tne-lab/py-behav-box-v2,10.21105/joss.06515,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
torognes/vsearch,10.7717/peerj.2584,27781170,True,Other,4,0,4,,,,,,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
TradeMaster-NTU/TradeMaster,10.1145/3582560,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
transcript/samsa2,10.1186/s12859-018-2189-z,29783945,True,NIH; Other,3,0,3,,,,,,,,UNIVERSITY OF CALIFORNIA AT DAVIS,NIGMS; NCCIH; Other,USD:746755,746755.0,2002-07-01T00:00:00,2020-08-31T00:00:00,OK
trentool/TRENTOOL3,10.1186/1471-2202-12-119,22098775,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
troyvvgroup/quemb,10.1021/acs.jpca.5c02983,40608815,True,Other,3,1,2,2141064,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
tryonlabs/opentryon,10.1109/CVPR52729.2023.00447,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tudelft3d/3dfier,10.21105/joss.02866,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tum-ewk/lemlab,10.1016/j.apenergy.2021.118004,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
tum-ewk/OpenTUMFlex,10.1109/ISGTEurope.2019.8905594,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
twardokus/v2verifier,10.1109/TMC.2017.2751474,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
uctb/UCTB,10.1109/TKDE.2021.3130762,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
UFFeScience/akoflow,10.5753/sbbd.2024.241126,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
uhhhci/immersive-ngp,10.3389/frvir.2024.1377245,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ultravideo/kvazaar,10.1109/TIP.2014.2336550,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ultravideo/uvg266,10.1109/TCE.2022.3146016,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ultravideo/uvgRTP,10.1109/ICMEW53276.2021.9455968,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
UM-LPM/EARS,10.1016/j.asoc.2017.01.011,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
UniMelbHumanRoboticsLab/CANOpenRobotController,10.1007/978-3-030-69547-7_47,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
UniprJRC/FSDA,10.1016/j.chemolab.2012.03.017,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
uoftcprg/pokerkit,10.1109/TG.2023.3325637,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
uricamic/clandmark,10.1016/j.imavis.2016.02.004,,True,Other,3,3,0,ERC-CZ LL1303; SGS15/201/OHK3/3T/13; TE01020197,,,,Other,,,,Other,,,,,OK
USEPA/CompTox-ExpoCast-httk,10.1080/17425255.2021.1935867,34056988,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
usnistgov/feasst,10.1063/5.0224283,39234968,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
uvacw/osd2f,10.31235/osf.io/xjk6t,,True,Other,2,0,2,,,,,,,,STICHTING VU,Other,EUR:1496671,,2021-01-01 00:00:00,2025-12-31 00:00:00,OK
uw-madison-chem-shops/wisconsin-photoreactor,10.1021/acs.orglett.1c01910,34161103,True,NIH; NSF,2,2,0,1S10OD020022-01; CHE-1904940,S10OD020022,UNIVERSITY OF WISCONSIN-MADISON,WI,OD; NSF,USD:482659,482659.0,UNIVERSITY OF WISCONSIN-MADISON,OD; NSF,USD:482659,482659.0,2015-02-10T00:00:00,2016-02-09T00:00:00,OK
uzh-rpg/rpg_ultimate_slam_open,10.1109/LRA.2018.2793357,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
uzh-rpg/rpg_vid2e,10.1109/CVPR42600.2020.00364,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
UZ-SLAMLab/ORB_SLAM3,10.1109/TRO.2021.3075644,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
V69dxz/dearscholar,10.21105/joss.02506,,True,Other,1,0,1,,,,,,,,,Other,,,,,OK
VARID-XR/VARID-plugin-ue4,10.1038/s41746-020-0242-6,32195367,True,Other,1,1,0,1854/1855,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
venturi123/DRLinFluids,10.1016/j.jcp.2025.113893,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
verilog-to-routing/vtr-verilog-to-routing,10.1145/3734798,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
VerticalResearchGroup/miaow,10.1145/2764908,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
VespucciProject/Vespucci,10.5334/jors.91,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
vhive-serverless/STeLLAR,10.1109/IISWC53511.2021.00016,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
vhive-serverless/vHive,10.1145/3445814.3446714,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
VLSIDA/OpenRAM,10.1145/2966986.2980098,,True,NSF,1,1,0,1205685,,Oklahoma State University,,NSF,USD:384601,384601.0,Oklahoma State University,NSF,USD:384601,384601.0,2012-08-01 00:00:00,2016-07-31 00:00:00,OK
volkamerlab/teachopencadd,10.1186/s13321-019-0351-x,30963287,True,Other,2,2,0,391684253; 031A262C,,,,Other,EUR:549708,,,Other,EUR:549708,,2017-01-01 00:00:00,2022-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
vsoch/containershare,10.21105/joss.00878,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
VTTI-CSM/NeTrainSim,10.1007/s40534-024-00331-x,,True,Other,1,1,0,DE-AR0001471,,,,Other,,,,Other,,,,,OK
VTT-ProperTune/OpenPFC,10.1088/1361-651X/ad269e,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
w4k2/stream-learn,10.1016/j.neucom.2021.10.120,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
wahabk/Clinostat,10.1038/s41598-026-40665-6,41708794,True,Other,1,0,1,,,,,,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
waiwera/waiwera,10.1016/j.cageo.2020.104529,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
wcmc-its/ReCiter,10.1371/journal.pone.0244641,33793563,True,NIH,2,0,2,,,,,,,,WEILL MEDICAL COLL OF CORNELL UNIV,NCATS,USD:16719187,16719187.0,2007-09-17T00:00:00,2027-06-30T00:00:00,OK
WebFuzzing/EvoMaster,10.1145/3293455,,True,Other,1,1,0,274385,,,,Other,,,,Other,,,,,OK
weisongwen/GraphGNSSLib,10.1109/ICRA48506.2021.9562037,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
weisongwen/UrbanNavDataset,10.1007/s10291-020-01052-4,,True,Other,1,1,0,2019BSCX25,,,,Other,,,,Other,,,,,OK
wendykierp/JTransforms,10.1007/978-3-540-69384-0_77,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
WM-SEMERU/SecureReqNet,10.1109/ICSME.2019.00024,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
worlddynamics/WorldDynamics.jl,10.21105/joss.05772,,True,Other,4,0,4,,,,,,,,INRIA siège; EPA VILLA ARSON,Other,EUR:100462021,,2016-04-23 00:00:00,,OK
xzhang66/MPM3D-F90,10.1016/B978-0-12-407716-4.00001-6,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
yegor256/cam,10.48550/arXiv.2403.08488,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
YingyiLiu/HAMS,10.3390/jmse7030081,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
yiyuzhuang/IDOL,10.1109/CVPR52734.2025.02450,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ylongqi/openrec,10.1145/3159652.3159681,,True,NSF,1,0,1,,,,,,,,Cornell University,NSF,USD:1199998,1199998.0,2017-08-01 00:00:00,2022-07-31 00:00:00,OK
yxgeee/OpenIBL,10.1007/978-3-030-58548-8_22,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
zer011b/fdtd3d,10.1007/978-3-319-71255-0_27,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ZGC-LLM-Safety/TrafficLLM,10.1016/j.comnet.2025.111847,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ZhaoZhibin/DL-based-Intelligent-Diagnosis-Benchmark,10.1016/j.isatra.2020.08.010,32854956,True,Other,2,2,0,51835009; 51705398,,西安交通大学,,Other,CNY:3000000,,西安交通大学,Other,CNY:3000000,,2018-01-01 00:00:00,2023-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
ZJU-FAST-Lab/Fast-Racing,10.1109/LRA.2021.3113976,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
zslwyuan/AMF-Placer,10.1109/TCAD.2024.3373357,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
0xTCG/aldy,10.1038/s41467-018-03273-1,29483503,True,NIH,4,0,4,,,,,,,,MAYO CLINIC ROCHESTER; INDIANA UNIVERSITY INDIANAPOLIS; MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NIGMS; NHGRI; NIH,USD:2931519,2931519.0,2000-04-01T00:00:00,2020-08-31T00:00:00,OK
0xTCG/biser,10.1186/s13015-022-00210-2,35303886,True,Other,3,0,3,,,,,,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
0xTCG/sequre,10.1186/s13059-022-02841-5,36631897,True,NIH,3,2,1,5R01HG010959-04; NIH R01,R01HG010959,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,NHGRI; NIH,USD:465267,465267.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY; YALE UNIVERSITY,NHGRI; OD; NIH,USD:715267,715267.0,2020-09-18T00:00:00,2026-08-31T00:00:00,OK
4dn-dcic/tibanna,10.1093/bioinformatics/btz379,31077294,True,NIH,1,1,0,5U01CA200059-10,U01CA200059,HARVARD MEDICAL SCHOOL,MA,NCI,USD:1955511,1955511.0,HARVARD MEDICAL SCHOOL,NCI,USD:1955511,1955511.0,2015-09-07T00:00:00,2026-08-31T00:00:00,OK
ababaian/LIONS,10.1093/bioinformatics/btz130,30793157,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
ababaian/serratus,10.1038/s41586-021-04332-2,35082445,True,Other,9,0,9,,,,,,,,"Université Paris Cité; Centre de Recherche en Informatique, Signal et Automatique de Lille; Centre Île-de-France - Jouy-en-Josas - Antony",Other,EUR:36019949,,2017-01-01 00:00:00,,Not in NIH RePORTER (non-NIH funder via local snapshot)
ACEnglish/truvari,10.1186/s13059-022-02840-6,36575487,True,NIH; Other,2,1,1,HHSN268201800002I,,,,Other,,,BAYLOR COLLEGE OF MEDICINE,NHGRI; Other,USD:11520998,11520998.0,2016-01-14T00:00:00,2022-05-31T00:00:00,OK
aCLImatise/CliHelpParser,10.1093/bioinformatics/btaa1033,33325479,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
AdaptInfer/Contextualized,10.21105/joss.06469,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
adeschen/methylInheritance,10.1093/nar/gky362,29750268,True,Other,3,2,1,TE1-138294; 2015-022-ACF,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
Adibvafa/CodonTransformer,10.1038/s41467-025-58588-7,40180930,True,Other,1,1,0,RGPIN-2020,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
adnaniazi/tailfindr,10.1261/rna.071332.119,31266821,True,Other,2,2,0,#250049; 250049,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
aidanfoo96/MINUUR,10.12688/wellcomeopenres.19155.1,37577055,True,Other,16,2,14,217303; RSWF\R1\180013,,Liverpool School of Tropical Medicine,,Other,GBP:98500,,Liverpool School of Tropical Medicine,Other,GBP:4324603; USD:1866079,1866079.0,2016-09-30 00:00:00,2027-04-01 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
aidenlab/juicer,10.1016/j.cels.2016.07.002,27467249,True,NIH,4,2,2,5U01HL130010-05; 4DP2OD008540-03,U01HL130010; DP2OD008540,BAYLOR COLLEGE OF MEDICINE,TX,NHLBI; OD,USD:697922,697922.0,"BROAD INSTITUTE, INC.; BAYLOR COLLEGE OF MEDICINE",NHGRI; NHLBI; OD,USD:12608982,12608982.0,2003-11-10T00:00:00,2022-04-30T00:00:00,OK
akcorut/kGWASflow,10.1093/g3journal/jkad246,37976215,True,NSF; Other,2,0,2,,,,,,,,University of Georgia,NSF; Other,USD:1353634,1353634.0,2019-01-01 00:00:00,2025-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
akensert/molgraph,10.1007/s10822-024-00578-w,39636382,True,Other,1,1,0,EOS ID: 30897864,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
akikuno/cstag,10.21105/joss.06066,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
akikuno/DAJIN,10.1371/journal.pbio.3001507,35041655,True,Other,4,0,4,,,,,,,,国立大学法人筑波大学,Other,JPY:30000000,,2018-10-15 00:00:00,2021-03-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
akikuno/DAJIN2,10.1371/journal.pbio.3001507,35041655,True,Other,4,4,0,20ae0201011h0003; JPMJPF2017; 19H03142:; 19H03142,,国立大学法人筑波大学,,Other,JPY:30000000,,国立大学法人筑波大学,Other,JPY:30000000,,2018-10-15 00:00:00,2021-03-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
akikuno/TSUMUGI-dev,10.1093/database/bat025,23660285,True,NIH; Other,7,0,7,,,,,,,,UNIV OF NORTH CAROLINA CHAPEL HILL; UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,OD; NHGRI; Other; NIH,USD:1402652,1402652.0,2009-09-30T00:00:00,2025-08-31T00:00:00,OK
akiyamalab/MEGADOCK,10.1093/bioinformatics/btu532,25100686,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
alastair-droop/fqtools,10.1093/bioinformatics/btw088,27153699,True,Other,3,2,1,MR/LO1629X; MR/L01629X/1,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
alekseyzimin/masurca,10.1093/bioinformatics/btt476,23990416,True,NIH,3,0,3,,,,,,,,"CARNEGIE-MELLON UNIVERSITY; JOHNS HOPKINS UNIVERSITY; UNIV OF MARYLAND, COLLEGE PARK",NHGRI,USD:2207725,2207725.0,1999-09-01T00:00:00,2029-08-31T00:00:00,OK
AlexandrovLab/SigProfilerClusters,10.1093/bioinformatics/btac335,35595234,True,NIH; Other,4,1,3,5R01ES032547-05,R01ES032547,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,NIEHS,USD:424224,424224.0,"UNIVERSITY OF CALIFORNIA, SAN DIEGO; UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR",NIEHS; Other,USD:788668,788668.0,2020-04-06T00:00:00,2026-01-31T00:00:00,OK
AlexandrovLab/SigProfilerExtractorR,10.1016/j.xgen.2022.100179,36388765,True,NIH; Other,25,3,22,5R01MH116281-05; 5R01ES032547-05; 5R01CA269919-05,R01MH116281; R01ES032547; R01CA269919,"ENDEAVOR HEALTH CLINICAL OPERATIONS; UNIVERSITY OF CALIFORNIA, SAN DIEGO",IL; CA,NIMH; NIEHS; NCI,USD:1156726,1156726.0,"ENDEAVOR HEALTH CLINICAL OPERATIONS; UNIVERSITY OF CALIFORNIA, SAN DIEGO; UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR; BECKMAN RESEARCH INSTITUTE/CITY OF HOPE; UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",NIMH; NIEHS; NCI; Other,USD:2473065,2473065.0,1992-09-09T00:00:00,2027-06-30T00:00:00,OK
AlexandrovLab/SigProfilerExtractor,10.1016/j.xgen.2022.100179,36388765,True,NIH; Other,25,5,20,5R01MH116281-05; 5R01ES032547-05; 5R01CA269919-05; 21777; 24032,R01MH116281; R01ES032547; R01CA269919,"ENDEAVOR HEALTH CLINICAL OPERATIONS; UNIVERSITY OF CALIFORNIA, SAN DIEGO",IL; CA,NIMH; NIEHS; NCI; Other,USD:1156726,1156726.0,"ENDEAVOR HEALTH CLINICAL OPERATIONS; UNIVERSITY OF CALIFORNIA, SAN DIEGO; UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR; BECKMAN RESEARCH INSTITUTE/CITY OF HOPE; UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",NIMH; NIEHS; NCI; Other,USD:2473065,2473065.0,1992-09-09T00:00:00,2027-06-30T00:00:00,OK
AlexandrovLab/SigProfilerMatrixGeneratorR,10.1186/s12864-019-6041-2,31470794,True,Other,5,0,5,,,,,,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
AlexandrovLab/SigProfilerMatrixGenerator,10.1186/s12864-019-6041-2,31470794,True,Other,5,4,1,CIRG/1422/2015; 24032; MOH-000032/MOH-CIRG18may-0004; NMRC/CIRG/1422/2015,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
AlexsLemonade/scpca-portal,10.1016/j.xgen.2026.101283,42341749,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
algbio/ggcat,10.1101/gr.277615.122,37253540,True,Other,5,4,1,322595; 346968; Horizon 2020; 352821,,,,Other,EUR:871852,,Helsinki Art Museum,Other,EUR:2370219,,2019-01-01 00:00:00,2026-08-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
alguoo314/JASPER,10.1371/journal.pcbi.1011032,37000853,True,NIH; NSF; Other,5,3,2,1744309; IOS-1744309; R35-GM130151,,Johns Hopkins University,,NSF; NIH,USD:774675,774675.0,JOHNS HOPKINS UNIVERSITY; Johns Hopkins University,NHGRI; NSF; Other; NIH,USD:2640140,2640140.0,1999-09-01T00:00:00,2029-08-31T00:00:00,OK
algorun/algorun,10.1093/bioinformatics/btw120,27153722,True,NIH,1,0,1,,,,,,,,JACKSON LABORATORY,NCI,USD:1260000,1260000.0,1997-08-01T00:00:00,2030-06-30T00:00:00,OK
Al-Murphy/MungeSumstats,10.1093/bioinformatics/btab665,34601555,True,Other,1,0,1,,,,,,,,,Other,GBP:1224262,,2021-02-01 00:00:00,2026-01-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
althonos/pyhmmer,10.1093/bioinformatics/btad214,37074928,True,Other,3,2,1,SFB 1371; 031L0181A,,,,Other,,,Technische Universität München (TUM),Other,EUR:5167258,,2019-01-01 00:00:00,2019-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
althonos/pyrodigal,10.21105/joss.04296,,True,Other,2,0,2,,,,,,,,Technische Universität München (TUM),Other,EUR:5167258,,2019-01-01 00:00:00,2019-12-31 00:00:00,OK
a-ludi/dentist,10.1093/gigascience/giab100,35077539,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
amchakra/tosca,10.1101/2022.06.13.495933,,True,Other,7,6,1,215593/Z/19/Z; FC010110; SGL023\1085; FC010110; 215593/Z/19/Z; /Z/15/Z; 110292/Z/15/Z,,,,Other,,,University College London,Other,GBP:2273712,,2020-01-01 00:00:00,2025-01-01 00:00:00,OK
amkozlov/raxml-ng,10.1093/molbev/msad227,37804116,True,Other,1,0,1,,,,,,,,IDRYMA TECHNOLOGIAS KAI EREVNAS,Other,EUR:2400000,,2023-01-01 00:00:00,2027-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
Amyris/GslCore,10.1007/978-1-4939-7795-6_21,29754240,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
andrewjpage/tiptoft,10.1128/AAC.02412-14,24777092,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
andrewrech/antigen.garnish,10.1016/j.cels.2019.08.009,31606370,True,NIH,3,0,3,,,,,,,,UNIVERSITY OF PENNSYLVANIA,NCI,USD:7314538,7314538.0,1997-01-15T00:00:00,2027-11-30T00:00:00,OK
anne-gcd/MTG-Link,10.1186/s12859-023-05395-w,37452278,True,Other,4,2,2,ANR-18-CE02-0019; ANR-18,,Centre d'Ecologie Fonctionnelle et Evolutive,,Other,EUR:618955,,Centre d'Ecologie Fonctionnelle et Evolutive,Other,EUR:4429586,,2018-01-01 00:00:00,,Not in NIH RePORTER (non-NIH funder via local snapshot)
antigenomics/vdjdb-db,10.1038/s41592-022-01578-0,35970936,True,Other,7,1,6,20-15-00395,,,,Other,,,University of Melbourne,Other,AUD:3437065,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
AntonelliLab/seqcap_processor,10.7717/peerj.5175,30023140,True,Other,1,1,0,B0569601,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
anuradhawick/LRBinner,10.1186/s13015-022-00221-z,35821155,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
apriha/snps,10.1016/j.csbj.2021.06.040,34285776,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
aquaskyline/16GT,10.1093/gigascience/gix045,28637275,True,NIH,3,3,0,5R01HL129239-03; R01-HG006677; HG006677,R01HL129239,JOHNS HOPKINS UNIVERSITY,MD,NHLBI; NIH,USD:292604,292604.0,JOHNS HOPKINS UNIVERSITY,NHLBI; NIH,USD:292604,292604.0,2015-07-01T00:00:00,2019-06-30T00:00:00,OK
